"bin","age","income","age_scale","inc_scale","First Name","Last Name","Email"
"60-69",64,87083.2365102658,1.20713459854811,0.750709993652861,"Vincent","Fowler","vincentfowler@aol.com"
"30-39",33,76807.8246349021,-0.561978994805904,0.380912401123153,"Jack","Ennis","jackennis@live.com"
"20-29",24,12043.5987664878,-1.07559261868288,-1.94986081738028,"Nathanaël","Vincent","nathanaëlvincent@live.com"
"30-39",33,61972.0024324893,-0.561978994805904,-0.153007932212085,"Emilie","Nielsen","emilienielsen@gmail.com"
"70-79",78,60120.3151924143,2.00608912457896,-0.219647546448811,"Özkan","Mayhos","özkanmayhos@hotmail.com"
"60-69",62,40058.4173703211,1.09299823768656,-0.941646976366989,"Irini","Van Tongeren","irinivan tongeren@live.com"
"80-",88,38850.7240813705,2.5767709288867,-0.985110155866294,"Enola","Leroux","enolaleroux@gmail.com"
"50-59",54,65239.0494843263,0.636452794240364,-0.0354315129789782,"Elizabeth","White","elizabethwhite@me.com"
"50-59",54,51362.9221846237,0.636452794240364,-0.534813779238175,"Jennifer","Sanders","jennifersanders@live.com"
"30-39",31,36418.2459916542,-0.676115355667453,-1.07265161428852,"Ron","Williamson","ronwilliamson@yahoo.com"
"20-29",22,34407.0747890021,-1.18972897954443,-1.14503083158189,"Vicki","Turner","vickiturner@me.com"
"70-79",76,42912.8684967195,1.89195276371741,-0.838919303029955,"Eden","Thomas","edenthomas@mail.com"
"60-69",66,32192.9335780667,1.32127095940966,-1.22471465343314,"Aitor","Martinez","aitormartinez@gmail.com"
"10-19",18,55822.4114578126,-1.41800170126752,-0.374323044935717,"Wilma","Witte","wilmawitte@gmail.com"
"20-29",21,35745.5210379194,-1.2467971599752,-1.09686203732005,"Ebenezer","Schulten","ebenezerschulten@verizon.net"
"40-49",45,48316.4372899455,0.122839170363392,-0.644452477267517,"Samuel","Wood","samuelwood@gmail.com"
"10-19",19,27790.5077939999,-1.36093352083675,-1.38315175318015,"Emma","Jennings","emmajennings@gmail.com"
"30-39",34,60214.6464570275,-0.504910814375129,-0.216252697173924,"Léane","Morin","léanemorin@gmail.com"
"30-39",30,88850.3409579721,-0.733183536098228,0.814305592392518,"Josefine","Mortensen","josefinemortensen@gmail.com"
"30-39",31,116187.315199197,-0.676115355667453,1.79812477006356,"Livia","Legrand","livialegrand@me.com"
"20-29",21,36736.1227520925,-1.2467971599752,-1.0612116776556,"Nicole","Phillips","nicolephillips@gmail.com"
"40-49",40,79348.2633849145,-0.162501731790481,0.472339211563345,"Cathy","Reyes","cathyreyes@yahoo.com"
"40-49",42,48485.6604006536,-0.0483653709289317,-0.638362375994761,"Samuel","Saez","samuelsaez@gmail.com"
"30-39",33,75069.7951517439,-0.561978994805904,0.318363169383009,"Mélissa","Nguyen","mélissanguyen@live.com"
"20-29",22,36153.3660387438,-1.18972897954443,-1.08218427050549,"Jaime","Suarez","jaimesuarez@gmail.com"
"20-29",21,25810.5255133648,-1.2467971599752,-1.45440852512384,"Elisa","Adam","elisaadam@aol.com"
"30-39",31,80624.557495274,-0.676115355667453,0.518271237947842,"Rémy","Petit","rémypetit@live.com"
"40-49",48,83549.290107777,0.294043711655716,0.623528242923952,"Enora","Legrand","enoralegrand@gmail.com"
"30-39",34,87458.5003611642,-0.504910814375129,0.764215210797332,"Jacob","Jones","jacobjones@gmail.com"
"60-69",61,40267.325427135,1.03593005725579,-0.934128669810824,"Lauri","Jarvela","laurijarvela@gmail.com"
"20-29",21,43392.6229672516,-1.2467971599752,-0.821653615740719,"Johan","Jean","johanjean@gmail.com"
"40-49",48,109549.637403702,0.294043711655716,1.55924410050646,"Bently","Ma","bentlyma@gmail.com"
"10-19",19,34174.5320145309,-1.36093352083675,-1.15339971831876,"Enzo","Bertrand","enzobertrand@hotmail.com"
"20-29",28,56011.9093101283,-0.847319896959777,-0.367503284285158,"Milla","Sakala","millasakala@gmail.com"
"50-59",55,66215.1526494849,0.693520974671139,-0.000302935661146847,"Deborah","Castro","deborahcastro@gmail.com"
"20-29",22,24957.9115271331,-1.18972897954443,-1.48509290092211,"Noa","Guillot","noaguillot@verizon.net"
"20-29",28,82813.0598112186,-0.847319896959777,0.597032352100589,"Christina","Fisher","christinafisher@yahoo.com"
"60-69",60,57361.0323807753,0.978861876825012,-0.318950246255829,"Akseli","Latt","akselilatt@live.com"
"30-39",32,59813.1796301604,-0.619047175236678,-0.230700922496351,"Alicia","Pelletier","aliciapelletier@gmail.com"
"20-29",28,90768.4990001132,-0.847319896959777,0.88333739712007,"Alexandra","Rodriguez","alexandrarodriguez@live.com"
"30-39",37,109945.684391048,-0.333706273082805,1.57349727344255,"Nathan","Turner","nathanturner@me.com"
"30-39",34,91373.4675369356,-0.504910814375129,0.905109362194241,"Elias","Niemela","eliasniemela@gmail.com"
"40-49",41,97861.4301632041,-0.105433551359706,1.13860199380049,"Ege","Babaoglu","egebabaoglu@yahoo.com"
"40-49",48,60611.9850187247,0.294043711655716,-0.201953042297108,"Stanley","Newman","stanleynewman@yahoo.com"
"50-59",57,54574.1440994495,0.807657335532688,-0.419246428013221,"Deniz","Bademci","denizbademci@gmail.com"
"20-29",26,93147.0466092005,-0.961456257821326,0.968937973547246,"Andy","Davies","andydavies@gmail.com"
"40-49",42,97903.8785917693,-0.0483653709289317,1.14012965292312,"Frankie","Armstrong","frankiearmstrong@live.com"
"30-39",37,97615.0539015689,-0.333706273082805,1.12973525935576,"Estelle","Berndt","estelleberndt@gmail.com"
"30-39",37,68211.662220833,-0.333706273082805,0.0715486301838393,"Marise","Dingenouts","marisedingenouts@gmail.com"
"50-59",59,62368.9657693467,0.921793696394238,-0.138721781148458,"Emil","Thomsen","emilthomsen@mail.com"
"30-39",39,73796.0788926808,-0.219569912221256,0.272523916233771,"Vedat","Durak","vedatdurak@gmail.com"
"20-29",24,43738.1544054375,-1.07559261868288,-0.809218426228673,"Ece","Özbey","eceözbey@yahoo.com"
"30-39",39,99122.795172951,-0.219569912221256,1.18399674289313,"Sara","Rice","sararice@gmail.com"
"40-49",46,77634.0862606732,0.179907350794167,0.410648392606124,"Camille","Chu","camillechu@aol.com"
"20-29",24,27704.4481462903,-1.07559261868288,-1.38624891861964,"Guinevere","De Hoop","guineverede hoop@gmail.com"
"40-49",45,68773.5668191772,0.122839170363392,0.0917707848010433,"Marko","Wegner","markowegner@gmail.com"
"80-",87,58509.3182352294,2.51970274845593,-0.277625056602736,"Meral","Eronat","meraleronat@gmail.com"
"60-69",64,59362.1100166933,1.20713459854811,-0.246934282204624,"Emma","Fortin","emmafortin@gmail.com"
"60-69",62,80078.2246509809,1.09299823768656,0.498609488814079,"Fatma","Gümüspala","fatmagümüspala@yahoo.com"
"20-29",24,60028.4483115857,-1.07559261868288,-0.222953706024281,"Oscar","Thomas","oscarthomas@live.com"
"20-29",26,110951.670891574,-0.961456257821326,1.60970130988647,"Sedef","Tuglu","sedeftuglu@gmail.com"
"30-39",35,109152.531916246,-0.447842633944354,1.54495283364311,"Patrick","Terry","patrickterry@gmail.com"
"30-39",30,57110.2126343703,-0.733183536098228,-0.327976895455348,"Caia","Adriaens","caiaadriaens@live.com"
"20-29",21,28156.7758185513,-1.2467971599752,-1.36997028314833,"Sam","Beck","sambeck@gmail.com"
"10-19",19,50924.3428701537,-1.36093352083675,-0.550597630687788,"Anaëlle","Morel","anaëllemorel@yahoo.com"
"20-29",27,109302.329989397,-0.904388077390552,1.55034385518938,"Eugenia","Iglesias","eugeniaiglesias@gmail.com"
"40-49",40,64074.863459393,-0.162501731790481,-0.0773289273599301,"George","Jones","georgejones@gmail.com"
"40-49",46,67198.3048197658,0.179907350794167,0.0350793254170613,"Johnny","Cook","johnnycook@yahoo.com"
"50-59",50,58798.4743697343,0.408180072517266,-0.267218734821954,"Teresa","Day","teresaday@gmail.com"
"30-39",32,108124.212773081,-0.619047175236678,1.50794507686342,"Louis","Richards","louisrichards@gmail.com"
"40-49",44,64011.559502401,0.0657709899326176,-0.0796071475594892,"Mehmet","Tüzün","mehmettüzün@gmail.com"
"70-79",72,48060.0778540946,1.66368004199431,-0.653678492083257,"Meral","Abaci","meralabaci@gmail.com"
"40-49",45,75398.9190543294,0.122839170363392,0.3302078748115,"Annelotte","Niemantsverdriet","annelotteniemantsverdriet@gmail.com"
"60-69",66,37866.6080983162,1.32127095940966,-1.02052710320794,"Raimunda","Monteiro","raimundamonteiro@gmail.com"
